epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
39,2117,0.59022,1.14391,0.59196,0.97058,0,0.89701,0.89397,0.95223,0.81646,0.89601,0.89268,0.95048,0.76631,0.57588,1.18309,0.68241,0.95734,0,0.0006238,0.0006238,0.0006238
40,2170.46,0.57425,1.10825,0.57444,0.96734,0,0.90678,0.90946,0.95146,0.81331,0.90578,0.9094,0.94982,0.7639,0.58028,1.179,0.60804,0.96463,0,0.0006139,0.0006139,0.0006139
41,2225.92,0.57798,1.11868,0.57304,0.96332,0,0.91186,0.90034,0.95509,0.81912,0.91326,0.89938,0.95286,0.76931,0.59881,1.12646,0.64223,0.97313,0,0.000604,0.000604,0.000604
42,2280.87,0.56537,1.10336,0.57242,0.96138,0,0.91661,0.90631,0.95728,0.83017,0.91848,0.90577,0.95648,0.78172,0.56846,1.12056,0.61646,0.95475,0,0.0005941,0.0005941,0.0005941
43,2336.35,0.57076,1.10333,0.55962,0.96308,0,0.91879,0.90417,0.96003,0.82799,0.91685,0.90226,0.95604,0.78067,0.5722,1.09673,0.61455,0.94501,0,0.0005842,0.0005842,0.0005842
44,2393.15,0.5623,1.09347,0.56061,0.96205,0,0.92162,0.89329,0.95513,0.82643,0.92158,0.89413,0.9535,0.77899,0.56135,1.10236,0.61053,0.94887,0,0.0005743,0.0005743,0.0005743
45,2448.65,0.56774,1.09341,0.54972,0.96013,0,0.91922,0.9,0.95824,0.82745,0.91778,0.90011,0.95675,0.7784,0.5762,1.10367,0.63096,0.96012,0,0.0005644,0.0005644,0.0005644
46,2504.59,0.56272,1.08057,0.55272,0.96049,0,0.91159,0.91653,0.9596,0.8354,0.91319,0.91243,0.95762,0.7878,0.56324,1.09334,0.5891,0.95362,0,0.0005545,0.0005545,0.0005545
47,2561.15,0.55049,1.0478,0.54752,0.95474,0,0.92122,0.90927,0.95948,0.83476,0.9235,0.90797,0.9577,0.78782,0.54703,1.09971,0.58581,0.94371,0,0.0005446,0.0005446,0.0005446
48,2617.77,0.55068,1.08235,0.54095,0.95805,0,0.91734,0.90947,0.95736,0.83366,0.92,0.9082,0.95546,0.78622,0.55314,1.12247,0.57506,0.94268,0,0.0005347,0.0005347,0.0005347
49,2673.54,0.54613,1.05679,0.53724,0.95245,0,0.91653,0.90508,0.95448,0.82528,0.91431,0.90343,0.95071,0.77255,0.55894,1.13353,0.59355,0.9516,0,0.0005248,0.0005248,0.0005248
50,2729.51,0.54738,1.0629,0.54125,0.95358,0,0.92161,0.90239,0.95889,0.83578,0.92159,0.90079,0.95574,0.78737,0.54954,1.0777,0.5893,0.93578,0,0.0005149,0.0005149,0.0005149
51,2784.5,0.54859,1.07204,0.53732,0.95145,0,0.90641,0.91526,0.9553,0.83227,0.90342,0.9124,0.95231,0.78605,0.54407,1.07391,0.58969,0.94034,0,0.000505,0.000505,0.000505
52,2839.63,0.54725,1.05223,0.52946,0.95526,0,0.91464,0.90707,0.95938,0.83476,0.91603,0.90578,0.95573,0.78218,0.55419,1.11494,0.58749,0.94065,0,0.0004951,0.0004951,0.0004951
53,2894.91,0.54129,1.04308,0.52034,0.94995,0,0.91348,0.91474,0.95951,0.83593,0.91389,0.91531,0.95753,0.78682,0.55403,1.09294,0.60002,0.94138,0,0.0004852,0.0004852,0.0004852
54,2950.05,0.54158,1.04272,0.5267,0.94883,0,0.91872,0.91068,0.96097,0.83645,0.91692,0.91192,0.95776,0.78921,0.55625,1.10452,0.562,0.94874,0,0.0004753,0.0004753,0.0004753
55,3004.68,0.54158,1.04097,0.53056,0.95205,0,0.92727,0.90324,0.95985,0.83685,0.92813,0.90104,0.95697,0.78508,0.55041,1.11322,0.5717,0.94412,0,0.0004654,0.0004654,0.0004654
56,3058.53,0.5382,1.04903,0.52006,0.94846,0,0.92123,0.9127,0.96056,0.84004,0.9208,0.91055,0.95655,0.79144,0.53637,1.08854,0.55712,0.9337,0,0.0004555,0.0004555,0.0004555
57,3113.13,0.5372,1.06422,0.50932,0.95194,0,0.92369,0.91293,0.96251,0.84052,0.92011,0.91046,0.95525,0.79092,0.53678,1.10541,0.55059,0.9409,0,0.0004456,0.0004456,0.0004456
58,3167.04,0.53076,1.03214,0.51531,0.94344,0,0.91917,0.91524,0.95979,0.84038,0.91967,0.90974,0.95522,0.78697,0.53982,1.10933,0.56074,0.94147,0,0.0004357,0.0004357,0.0004357
59,3218.5,0.5307,1.03281,0.50453,0.94497,0,0.92994,0.91585,0.96354,0.84337,0.9281,0.91525,0.9594,0.7939,0.53377,1.07613,0.54648,0.93362,0,0.0004258,0.0004258,0.0004258
60,3270.85,0.53102,1.02308,0.50817,0.94556,0,0.92842,0.91247,0.9612,0.84469,0.92752,0.91268,0.95911,0.79009,0.52566,1.08094,0.54704,0.9285,0,0.0004159,0.0004159,0.0004159
61,3322.12,0.52696,1.03026,0.50351,0.94559,0,0.92928,0.91267,0.95948,0.84245,0.92819,0.91178,0.95686,0.79488,0.52581,1.06309,0.53732,0.92663,0,0.000406,0.000406,0.000406
62,3374.6,0.52042,1.01306,0.49936,0.94252,0,0.92157,0.91914,0.96299,0.84653,0.92378,0.91524,0.9605,0.79672,0.52423,1.05326,0.5447,0.93345,0,0.0003961,0.0003961,0.0003961
63,3428.19,0.52711,1.01334,0.49524,0.94393,0,0.92969,0.91769,0.96509,0.84761,0.93113,0.91441,0.96182,0.80005,0.51553,1.04465,0.53048,0.91808,0,0.0003862,0.0003862,0.0003862
64,3481.24,0.52588,1.00775,0.49092,0.94173,0,0.92735,0.91941,0.96259,0.84677,0.93102,0.91329,0.96175,0.79613,0.51314,1.05278,0.5401,0.92172,0,0.0003763,0.0003763,0.0003763
65,3533.04,0.51647,1.00093,0.49142,0.93698,0,0.91832,0.92635,0.96309,0.84765,0.91988,0.92327,0.96129,0.79769,0.52436,1.0628,0.54555,0.93039,0,0.0003664,0.0003664,0.0003664
66,3585.14,0.51258,0.98973,0.48131,0.93922,0,0.93766,0.91227,0.96356,0.85002,0.94199,0.90817,0.96251,0.80358,0.52364,1.01285,0.52629,0.93219,0,0.0003565,0.0003565,0.0003565
67,3638.02,0.52616,1.02546,0.4907,0.94514,0,0.93259,0.91886,0.96461,0.85013,0.93502,0.91683,0.96245,0.80207,0.52764,1.05895,0.55474,0.92851,0,0.0003466,0.0003466,0.0003466
68,3689.91,0.51921,1.00456,0.49007,0.93773,0,0.93961,0.90947,0.96614,0.85235,0.93896,0.90865,0.96372,0.80415,0.52171,1.02717,0.51218,0.9279,0,0.0003367,0.0003367,0.0003367
69,3742.46,0.51153,0.99247,0.47818,0.93599,0,0.93289,0.91431,0.96369,0.85022,0.93261,0.91268,0.96062,0.8007,0.5188,1.01638,0.52635,0.92564,0,0.0003268,0.0003268,0.0003268
70,3794.66,0.51068,0.98706,0.48027,0.937,0,0.92477,0.91539,0.96302,0.85477,0.9269,0.91176,0.9602,0.80508,0.50903,1.03686,0.52077,0.9232,0,0.0003169,0.0003169,0.0003169
71,3846.96,0.50241,0.98197,0.46544,0.93491,0,0.92886,0.92498,0.96474,0.85162,0.9344,0.91886,0.96305,0.80531,0.51064,1.02744,0.50521,0.91971,0,0.000307,0.000307,0.000307
72,3899.45,0.51372,1.01117,0.48187,0.94136,0,0.93328,0.91652,0.96393,0.85166,0.93146,0.91397,0.96014,0.80152,0.5043,1.05995,0.51361,0.91919,0,0.0002971,0.0002971,0.0002971
73,3951.63,0.50258,0.98573,0.4782,0.93448,0,0.92956,0.91953,0.96338,0.85355,0.92967,0.91786,0.9611,0.80543,0.50155,1.05587,0.50285,0.90633,0,0.0002872,0.0002872,0.0002872
74,4002.88,0.51455,0.9996,0.48424,0.93678,0,0.92491,0.92117,0.96211,0.85185,0.9252,0.91889,0.95905,0.8023,0.50606,1.01463,0.52739,0.92018,0,0.0002773,0.0002773,0.0002773
75,4054.96,0.5061,0.97983,0.46552,0.9313,0,0.93549,0.91894,0.96438,0.8572,0.93617,0.91702,0.96177,0.8085,0.494,1.02385,0.50053,0.90997,0,0.0002674,0.0002674,0.0002674
76,4107.12,0.49648,0.96188,0.47141,0.9302,0,0.9294,0.91541,0.96233,0.85152,0.93043,0.9105,0.9589,0.80485,0.51121,1.04253,0.51213,0.91429,0,0.0002575,0.0002575,0.0002575
77,4158.99,0.50612,0.99908,0.47142,0.93592,0,0.93977,0.91925,0.96694,0.85779,0.93954,0.91704,0.9646,0.80918,0.4987,0.99921,0.49916,0.91121,0,0.0002476,0.0002476,0.0002476
78,4210.96,0.49152,0.96291,0.45966,0.92894,0,0.93086,0.92595,0.96482,0.85493,0.93132,0.92531,0.96445,0.80654,0.50932,1.00717,0.48738,0.91856,0,0.0002377,0.0002377,0.0002377
