epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,4159.19,0.52498,0.9801,0.47,0.93267,0,0.92657,0.91288,0.96092,0.87364,0.92774,0.91399,0.96307,0.83433,0.42615,0.84986,0.3756,0.84446,0,0.0006337,0.0006337,0.0006337
39,4265.48,0.52603,0.97876,0.46863,0.93065,0,0.90937,0.92089,0.95606,0.87367,0.92795,0.90857,0.95881,0.83605,0.42237,0.83249,0.38708,0.83982,0,0.0006238,0.0006238,0.0006238
40,4372.44,0.51914,0.96724,0.46206,0.92699,0,0.91011,0.94083,0.96009,0.8732,0.91109,0.94274,0.96142,0.83348,0.43313,0.832,0.36959,0.8441,0,0.0006139,0.0006139,0.0006139
41,4478.97,0.5178,0.96923,0.46216,0.92878,0,0.92463,0.92954,0.9641,0.88039,0.91899,0.93942,0.96575,0.84325,0.43065,0.84528,0.35965,0.84725,0,0.000604,0.000604,0.000604
42,4585.39,0.51628,0.97143,0.45967,0.92718,0,0.91519,0.93282,0.96334,0.87856,0.91611,0.93326,0.96277,0.83814,0.41638,0.83213,0.36199,0.83156,0,0.0005941,0.0005941,0.0005941
43,4692.31,0.5073,0.94876,0.45078,0.92376,0,0.92987,0.92405,0.96214,0.88316,0.92961,0.92419,0.96207,0.84613,0.40751,0.80304,0.35858,0.8297,0,0.0005842,0.0005842,0.0005842
44,4798.33,0.51504,0.95848,0.4521,0.9251,0,0.91934,0.94346,0.96558,0.8897,0.91933,0.94349,0.96556,0.85227,0.396,0.7985,0.35006,0.8249,0,0.0005743,0.0005743,0.0005743
45,4904.92,0.50777,0.95684,0.44843,0.9232,0,0.92513,0.92663,0.96405,0.88362,0.92784,0.92887,0.96657,0.84553,0.41023,0.83087,0.35728,0.8379,0,0.0005644,0.0005644,0.0005644
46,5033.13,0.50087,0.94248,0.44305,0.92098,0,0.90797,0.93435,0.96266,0.8829,0.9104,0.93468,0.96398,0.83923,0.40793,0.79741,0.35634,0.82998,0,0.0005545,0.0005545,0.0005545
47,5219.86,0.49987,0.93586,0.4435,0.92216,0,0.91827,0.93698,0.9649,0.88623,0.91854,0.93724,0.96561,0.84667,0.40638,0.82439,0.35048,0.82812,0,0.0005446,0.0005446,0.0005446
48,5400.03,0.4972,0.93262,0.44094,0.91792,0,0.92616,0.9445,0.96624,0.88695,0.9267,0.94507,0.96651,0.85115,0.41231,0.80032,0.34379,0.82702,0,0.0005347,0.0005347,0.0005347
49,5609.83,0.49913,0.93773,0.43998,0.91839,0,0.92509,0.92579,0.96317,0.88622,0.92628,0.92689,0.9645,0.84253,0.39614,0.79224,0.35428,0.83256,0,0.0005248,0.0005248,0.0005248
50,5813.57,0.50001,0.94182,0.436,0.92064,0,0.9076,0.93358,0.96448,0.88624,0.90812,0.93415,0.96475,0.84369,0.40368,0.78306,0.35072,0.8272,0,0.0005149,0.0005149,0.0005149
51,6018.03,0.49447,0.93208,0.43516,0.91897,0,0.91738,0.94276,0.9665,0.8881,0.91847,0.94387,0.96689,0.84786,0.39915,0.78768,0.33489,0.83052,0,0.000505,0.000505,0.000505
